dict_size: 17809
#############################
maximum sentence length: 55
minimum sentence length: 1
length	frequency
preference	14
unrepentant	14
action-oriented	14
werner	14
faraway	14
refer	14
dead-undead	14
amusedly	14
tireless	14
tranquil	14
cream	14
sci	14
yasujiro	14
improperly	14
dodger	14
conceivable	14
method	14
247	14
schweig	14
thorough	14
wipe	14
not-quite	14
si	14
sociological	14
sure-fire	14
detract	14
historic	14
effecting	14
stop-go	14
laurence	14
banking	14
coughed	14
bait-and-tackle	14
mini	14
underlay	14
worthless	14
depravity	14
ivan	14
malarkey	14
pent	14
tunisian	14
expressed	14
delving	14
shockwaves	14
consideration	14
barrie	14
self-analysis	14
lucratively	14
reynolds	14
weighed	14
efficiently	14
shudder	14
bone-crushing	14
boorishness	14
populace	14
raunch-fests	14
straining	14
reassuring	14
khouri	14
arliss	14
raindrop	14
c.h.o	14
180	14
dungeon	14
specious	14
weary	14
force-feed	14
ll	14
give-a-damn	14
hateful	14
stuffing	14
vi	14
wen	14
self-hating	14
retelling	14
anti-semitism	14
pressure	14
amir	14
artefact	14
thirteen	14
antler	14
buoy	14
love-struck	14
hairdo	14
india	14
gianni	14
impassive	14
agony	14
rookie	14
pizza	14
retail	14
of-a-sequel	14
roland	14
sliding	14
participate	14
curse-free	14
tangle	14
spanish-american	14
light-footed	14
splendidly	14
cliff-notes	14
unsophisticated	14
pastel	14
weissman	14
exceeds	14
aladdin	14
operandi	14
athletic	14
campanella	14
cooler	14
revisiting	14
robotically	14
wasting	14
heartstrings	14
ramification	14
pea	14
fabricated	14
movie-of-the-week	14
half-sleep	14
pokepie	14
ferocious	14
all-too-human	14
underappreciated	14
ineffectual	14
genet	14
she-cute	14
jag	14
purge	14
hears	14
purity	14
statham	14
post-adolescent	14
gerardo	14
benefited	14
taiwanese	14
immorality	14
equipment	14
belly-dancing	14
blessedly	14
staid	14
namely	14
garde	14
elvis	14
rembrandt	14
respected	14
well-lensed	14
jaw-droppingly	14
stress	14
freeing	14
out-bad-act	14
tightened	14
non-narrative	14
colored	14
tries-so-hard-to-be-cool	14
hooliganism	14
android	14
showiness	14
dulled	14
unnatural	14
ever-growing	14
mist	14
lawman	14
best-foreign-film	14
gleefully	14
quota	14
theron	14
magimel	14
ashtray	14
ferrera	14
instilled	14
geddes	14
collected	14
loop	14
damonbourne	14
passably	14
g.i	14
faceoff	14
war-movie	14
limpid	14
upstage	14
recognition	14
idolized	14
drunk	14
booth	14
ozu	14
soaper	14
gandalf	14
documenting	14
compiled	14
naturenurture	14
laconic	14
undo	14
timer	14
bee	14
roiling	14
mongrel	14
welt	14
tempered	14
injects	14
draggy	14
diego	14
bloodsucker	14
just-above-average	14
replacing	14
scoring	14
rhetoric	14
b-grade	14
featured	14
recruiting	14
bouncing	14
stoic	14
anxiety	14
schindler	14
discontent	14
hunger	14
fooled	14
armageddon	14
half-an-hour	14
ricocheting	14
affirm	14
mangle	14
freak-outs	14
amour	14
macnaughton	14
squander	14
fork	14
ploddingly	14
laura	14
advises	14
soapy	14
wladyslaw	14
disciplined	14
clerk	14
deceit	14
modus	14
franco	14
iconography	14
125-year	14
sunday	14
irreverent	14
snl	14
witch-style	14
muzak	14
begley	14
preaching	14
orgy	14
melodic	14
prefeminist	14
answering	14
dissecting	14
deform	14
plump	14
gangstercrime	14
fanboy	14
maintained	14
unturned	14
caliber	14
whip-crack	14
drenched	14
crafting	14
opium	14
extend	14
hit-or-miss	14
cor-blimey-luv-a-duck	14
hideous	14
rambunctious	14
intricately	14
protestors	14
co-writerdirector	14
stretching	14
lingered	14
malone	14
poodle	14
sickness	14
lightest	14
anti-date	14
clements	14
afghani	14
relation	14
cliffsnotes	14
echelon	14
stubbornly	14
leisurely	14
brett	14
frisk	14
pep	14
yimou	14
consumption	14
ready-made	14
navajo	14
artificiality	14
pyromania	14
smear	14
unread	14
third-act	14
projector	14
hugger	14
estranged	14
literacy	14
grieving	14
bar-scrapping	14
heartening	14
bathing	14
tearful	14
petrovich	14
unjustified	14
all-male	14
eyebrow	14
enhances	14
inextricably	14
brunt	14
zinger	14
female-bonding	14
drug-related	14
reporting	14
retiring	14
resolved	14
all-american	14
puppy	14
poetics	14
infiltrated	14
supportive	14
annex	14
whisper	14
kiddie-flick	14
founder	14
zing	14
rose-colored	14
mischievous	14
emily	14
pornographic	14
love-hate	14
tremendously	14
precollegiate	14
ceremony	14
sogginess	14
lethargically	14
pound	14
interstitial	14
erotically	14
founding	14
braveheart	14
silberling	14
live-style	14
malfitano-domingo	14
goldberg	14
strenuously	14
pretentiously	14
willful	14
exxon	14
celibacy	14
blooper	14
rock-solid	14
high-powered	14
borg	14
congratulate	14
szpilman	14
bambi	14
exalted	14
journalistic	14
goer	14
world-renowned	14
middle-age	14
memorial	14
arthouse	14
endorsement	14
fascist	14
a-bornin	14
trouble-in-the-ghetto	14
educates	14
holographic	14
clutch	14
catching	14
exclamation	14
promoter	14
array	14
hijinks	14
stadium-seat	14
half-naked	14
unpersuasive	14
desolate	14
quitting	14
quit	14
dicey	14
tarkovsky	14
annie-mary	14
christianity	14
illuminated	14
wholesale	14
winking	14
matron	14
self-congratulation	14
runner-up	14
65th	14
mire	14
languidly	14
glad	14
fore	14
indomitable	14
half-dozen	14
ruthlessness	14
loopy	14
braided	14
absorb	14
denlopp	14
monotone	14
77	14
unmentioned	14
ayurveda	14
defensible	14
stoned	14
intermezzo	14
catharsis	14
unsure	14
sold	14
prescription	14
marveling	14
antithesis	14
comic-book	14
junior-high	14
two-hour-and-fifteen-minute	14
unimaginatively	14
sleight	14
perplexing	14
gender-war	14
doggedness	14
dismay	14
calvin	14
undying	14
sheerly	14
hoity-toity	14
half-bad	14
tar	14
pythonesque	14
bille	14
overtake	14
greenlight	14
simulate	14
indistinct	14
string-pulling	14
tidings	14
zishe	14
lighter-than-air	14
affluent	14
cleavage	14
bias	14
walt	14
horrific	14
wish-fulfilling	14
shuck-and-jive	14
bolero	14
thud	14
gutter	14
1954	14
unimpressive	14
shabby	14
scared	14
fatally	14
dynamite	14
american-russian	14
debrauwer	14
sexpot	14
diplomat	14
hennings	13
wizardry	13
non-god	13
disturb	13
grueling	13
sturm	13
widget	13
shriek	13
natured	13
crossing-over	13
drying	13
double-barreled	13
extortion	13
wrought	13
financial	13
fifteen-year-old	13
rd	13
encountering	13
kingdom	13
tequila	13
foxworthy	13
unfussily	13
dysfunctionally	13
sold-out	13
yale	13
imposter	13
trusted	13
superstitious	13
captivates	13
personifying	13
long-on-the-shelf	13
choosing	13
nixon	13
renown	13
glibly	13
retro-refitting	13
harland	13
senior	13
machination	13
embark	13
unaware	13
schiffer	13
molestation	13
dystopia	13
vex	13
biographical	13
finding-herself	13
unacceptable	13
deviant	13
twilight	13
entering	13
neglect	13
non-actors	13
opportunism	13
slob	13
wielding	13
refreshed	13
extant	13
homophobia	13
212	13
wisely	13
accidental	13
nicole	13
dank	13
ace	13
secretion	13
botch-jobs	13
buying	13
taxicab	13
dust-caked	13
selfless	13
lobbyist	13
melancholia	13
saintly	13
unburdened	13
gerald	13
d'etre	13
leonine	13
therapy-dependent	13
wash	13
freakshow	13
disease-of	13
grooved	13
spaghetti	13
dramatized	13
blackboard	13
odorous	13
cassette	13
dependent	13
terrifically	13
soliah	13
adopt	13
overwhelm	13
enables	13
unwittingly	13
choking	13
middle-of-the-road	13
dating	13
armchair	13
integral	13
impudent	13
coasting	13
eye-catching	13
hail	13
squirm	13
moviemakers	13
gossip	13
severed	13
chloroform-soaked	13
victor	13
daytime-drama	13
eminently	13
duplicate	13
reedy	13
clarissa	13
amber	13
operative	13
cuss	13
merge	13
non-jew	13
disco	13
erasing	13
asylum	13
jab	13
webcast	13
undergrad	13
megaplexes	13
wonderous	13
bleakly	13
conflagration	13
spain	13
raison	13
ransom	13
elicits	13
cedar	13
boom-bam	13
shoe-loving	13
transport	13
fast-forward	13
irvine	13
matrix	13
wincing	13
grade-grubbers	13
officially	13
point-of-view	13
all-ages	13
smoke	13
evolve	13
riot-control	13
blood-soaked	13
heartless	13
violin	13
padre	13
workable	13
savory	13
fleshed	13
chanukah	13
martial-arts	13
real-live	13
purposefully	13
wifecolleague	13
dirty-joke	13
butchered	13
dy	13
luxury	13
skatesurf	13
precarious	13
as-nasty	13
show-biz	13
banderas-lucy	13
rebirth	13
idealistically	13
largest-ever	13
rail	13
presiding	13
cape	13
interspliced	13
pique	13
fidel	13
aurelie	13
sketched	13
captive	13
digression	13
write	13
geeky	13
credulous	13
under-inspired	13
anew	13
cad	13
romped	13
freezer	13
gaping	13
mccann	13
fling	13
nalin	13
stress-reducing	13
freebie	13
13th	13
negligible	13
entendre	13
interpersonal	13
flatly	13
leaning	13
jerky	13
yi	13
misanthropy	13
purer	13
fidgeted	13
vent	13
fassbinder	13
despising	13
cutesy-pie	13
assumes	13
exasperated	13
bucked	13
carpet	13
unseemly	13
multifaceted	13
keening	13
apocalypse	13
testosterone-charged	13
pub	13
nesbitt	13
harmoniously	13
pixar	13
boston	13
entrapment	13
zemeckis	13
solving	13
moaning	13
pug	13
bang-bang	13
attic	13
prickly	13
concentration	13
hyper	13
scooter	13
alexander	13
costars	13
horrid	13
moretti	13
stagnation	13
off-the-wall	13
coarse	13
maintenance	13
depleted	13
thrown-together	13
overweight	13
heartily	13
dog-tag	13
amaro	13
encompassing	13
envisioned	13
coming-of-agecoming-out	13
bruising	13
venicevenice	13
hoo-ha	13
bender	13
malik	13
languishing	13
widowmaker	13
aesthetically	13
referential	13
renoir	13
felon	13
likened	13
dreadfulness	13
globetrotters-generals	13
propriety-obsessed	13
starter	13
purist	13
confuses	13
animated-movie	13
double-pistoled	13
mentioned	13
handy	13
alteration	13
beer-fueled	13
criminally	13
1993	13
projectile	13
stultifying	13
four-hour	13
fed	13
hyperbolic	13
mercenary	13
pivotal	13
singh	13
gore-free	13
123	13
laser-beam	13
mood-altering	13
unconscious	13
sorely	13
ghoulish	13
balloon	13
ashley	13
distress	13
library	13
cradle	13
journal	13
eloquently	13
deathbed	13
scandalous	13
accountant	13
gait	13
slugfest	13
redeems	13
linearity	13
low-cut	13
dissolution	13
a-team	13
affect	13
phocion	13
berling	13
ignoring	13
pummels	13
dictum	13
ward	13
softener	13
fresher	13
walled-off	13
haughtiness	13
quibble	13
'90s	13
dalloway	13
begrudge	13
story-telling	13
happenstance	13
greasy	13
mctiernan	13
bad-luck	13
chess	13
un-bear-able	13
overplayed	13
mario	13
picpus	13
consumed	13
flakeball	13
pop-music	13
carmichael	13
anteing	13
pete	13
cleverer	13
dumber	13
russia	13
und	13
cheatfully	13
marmite	13
163	13
splendour	13
shatner	13
punchlines	13
doctrine	13
all-woman	13
molested	13
cavaradossi	13
skim	13
good-time	13
self-righteousness	13
waif	13
odour	13
bruised	13
ingenuity	13
checkout	13
actorly	13
avant	13
framing	13
wallpaper	13
nonfiction	13
rachel	13
texas	13
tracy	13
blanchett	13
alarming	13
feardotcom.com	13
declared	13
backstabbing	13
triumphantly	13
disappoints	13
nonprofessional	13
gaining	13
miraculous	13
goofily	13
footing	13
tailor-made	13
pleased	13
jagjit	13
copmovieland	13
self-importance	13
zelda	13
vile	13
aviv	13
overdoing	13
panorama	13
judicious	13
salesmanship	13
grisham	13
verbally	13
governance	13
controlling	13
rapport	13
creaky	13
libido	13
socially	13
discouraging	13
prophet	13
ardent	13
flute	13
permission	13
b-flick	13
double-crosses	13
celebrate	13
intrusive	13
newness	13
consigliere	13
lingo	13
prevention	13
mod	13
bio	13
shovel	13
extreme-sports	13
boyd	13
musclefest	13
voting	13
last-place	13
potboiler	13
recount	13
drive-in	13
tinny	13
marivaux	13
contriving	13
austrian	13
stepped	13
underdone	13
virulent	13
thwart	13
middle-america	13
justine	13
cartoonlike	13
unending	13
sense-spinning	13
madman	13
emigre	13
animator	13
bray	13
aggressiveness	13
jargon	13
numbered	13
seth	13
personnel	13
expiry	13
farewell-to-innocence	13
plague	13
veiling	13
yell	13
gown	13
lessen	13
dressing	13
recasts	13
shook	13
gordy	13
airless	13
besotted	13
civility	13
cross-country	13
out-to-change-the-world	13
non-fan	13
disguising	13
precocious	13
handkerchief	13
relayed	13
non-firsthand	13
snowman	13
nut	13
combustion	13
smutty	13
1.2	13
well-honed	13
waldo	13
spencer	13
depart	13
hunk	13
arbitrary	13
directorco-writer	13
self-consciousness	13
abel	13
removed	13
tit	13
eye-rolling	13
cook	13
oftentimes	13
cyber	13
fluke	13
viewfinder	13
indigenous	13
nonchallenging	13
ensure	13
irrational	13
trainspotting	13
imagining	13
devastated	13
someplace	13
grad	13
cheerfully	13
14-year-old	13
holden	13
nathan	13
demographically	13
shreve	13
encourages	13
hiss	13
unappealing	13
inquisition	13
atrociously	13
engine	13
amiability	13
affords	13
luscious	13
stuffiest	13
1989	13
veracity	13
relocation	13
garnered	13
post-soviet	13
briefly	13
mid-section	13
facetious	13
singularly	13
tel	13
unadorned	13
pin-like	13
naval	13
unfakable	13
domination	13
mellow	13
wrestler	13
future-world	13
blasphemous	13
avenue	13
out-outrage	13
reconstruction	13
refresh	13
reverent	13
divorce	13
indigestion	13
fumbled	13
solo	13
blissfully	13
teeth-clenching	13
solemnity	13
nerve-wracking	13
hardscrabble	13
alias	13
volletta	13
hinted	13
maxim	13
wind-tunnel	13
elvira	13
jeremy	13
glucose	13
hour-and-a-half-long	13
self-glorified	13
paste	13
madame	13
unschooled	13
ballplayer	13
glee	13
chyna	13
ballroom	13
plaguing	13
o.k	13
pours	13
disgusted	13
insisted	13
scintillating	13
doomed	13
recyclable	13
cracking	13
brushed	13
barn-burningly	13
electoral	13
hardship	13
unclear	13
worldly	13
bewildering	13
painter	13
abandoned	13
post-tarantino	13
fantasized	13
patric	13
panther	13
masquerade	13
interrogation	13
fledgling	13
focus-grouped	13
linger	13
shipping	13
pollak	13
40-year-old	13
visitor	13
filmgoers	13
automated	13
unfilmable	13
cake	13
kilt-wearing	13
cross-shaped	13
sica	13
juni	13
shamble	12
montage	12
truck-loving	12
pablum	12
elegiacally	12
summons	12
regurgitation	12
goddammit	12
industrial-model	12
uncinematic	12
misdemeanor	12
georgian	12
marginalization	12
grievous	12
silbersteins	12
pop-influenced	12
bliss	12
droning	12
follow-your-dream	12
humankind	12
milquetoast	12
wyman	12
stadium	12
misconstrued	12
majid	12
spews	12
ownership	12
beached	12
featherweight	12
birmingham	12
preciously	12
ballhaus	12
prologue	12
impervious	12
two-drink-minimum	12
friday-night	12
sparklingly	12
unnerve	12
momentary	12
perch	12
even-flowing	12
schlocky	12
tightly	12
doppelganger	12
vainly	12
sandbox	12
arriving	12
bursting	12
troll	12
m-16	12
overachieving	12
thing-type	12
floppy	12
bewilderingly	12
self-parody	12
opportunist	12
guarded	12
kasem-furnished	12
self-promotion	12
helene	12
refreshes	12
plummet	12
un	12
stoppard	12
marvin	12
ineptly	12
thrill-kill	12
enable	12
pornography	12
abject	12
gheorghiu	12
prevalence	12
germinate	12
clam	12
monopoly	12
biased	12
lumpish	12
all-inclusive	12
statesman	12
friggin	12
harks	12
vintage-tv	12
firebrand	12
raphael	12
woe-is-me	12
perversely	12
pseudo-witty	12
buttercup	12
distilled	12
reheated	12
anecdote	12
jed	12
stifle	12
blond	12
internal	12
20-year-old	12
sinner	12
parochial	12
freight	12
tumult	12
full-blooded	12
diluted	12
avuncular	12
smashing	12
allegiance	12
longs	12
firework	12
owen	12
career-best	12
unifying	12
italicizes	12
absorbed	12
thurman	12
imposed	12
psychopathy	12
ba	12
blueprint	12
slump	12
coldest	12
wafer-thin	12
payola	12
aerial	12
parsec	12
scrape	12
seesawing	12
classicism	12
unemotional	12
developmentally	12
out-depress	12
hughes	12
breath-taking	12
whipping	12
gon	12
guessable	12
pour	12
drill	12
presuppose	12
time-switching	12
mute	12
contraption	12
claustrophic	12
burke	12
napoli	12
scuzzy	12
adopts	12
elite	12
gaye	12
bierbichler	12
headlong	12
antagonist	12
family-film	12
rein	12
ever-escalating	12
movie-starring	12
third-best	12
stylistically	12
tear-stained	12
salma	12
brockovich	12
audio	12
veljohnson	12
thief	12
pellington	12
truffle	12
deciding	12
outshined	12
alliance	12
mortarboard	12
out-sized	12
in-your-face	12
kathleen	12
veil	12
borderline	12
clamoring	12
9.50	12
disappear	12
bludgeon	12
gasp-inducing	12
overstimulated	12
distorts	12
cheapened	12
giant-screen	12
spunky	12
griffin	12
accordionharmonicabanjo	12
fragmentary	12
wildean	12
austere	12
chronically	12
brother-man	12
twenty-some	12
dingo	12
bearded	12
crimen	12
josef	12
99	12
high-minded	12
lang	12
di	12
du	12
dustbin	12
babak	12
overgrown	12
arcane	12
musker	12
dishonor	12
oomph	12
wider	12
well-characterized	12
thi	12
omnipotent	12
peninsula	12
comeuppance	12
uma	12
marxian	12
feeble	12
cunningham	12
frothing	12
lustrous	12
marked	12
angela	12
symbolizes	12
croc	12
high-octane	12
exotic-looking	12
cop-flick	12
2525	12
1959	12
prognosis	12
marine	12
coulda	12
abhors	12
super-sized	12
concentrating	12
moviehouse	12
dridi	12
co-director	12
tenth	12
technicality	12
effusion	12
haplessness	12
troubadour	12
temper	12
12-step	12
slogged	12
onstage	12
indomitability	12
editorial	12
freely	12
bona-fide	12
studio-produced	12
crotch	12
basest	12
ramshackle	12
threaten	12
daringly	12
astronomically	12
pitcher	12
laser	12
blackout	12
waited	12
trained	12
producing	12
travil	12
hierarchy	12
verne	12
quartet	12
hue	12
columbia	12
daisy	12
insignificant	12
airborne	12
pasta-fagioli	12
grocery	12
withered	12
unhappily	12
promenade	12
meticulously	12
viterelli	12
catcher	12
lascivious-minded	12
brussels	12
tiring	12
amari	12
quietude	12
pathetically	12
shiny	12
tap-dancing	12
indecipherable	12
shrug	12
downy-cheeked	12
wizard	12
warpath	12
1790	12
redone	12
ribald	12
upsetting	12
veered	12
wig	12
parachute	12
dennis	12
self-made	12
smoky	12
cacoyannis	12
wittgenstein	12
brook	12
documented	12
university	12
interdependence	12
adhering	12
democracie	12
brainpower	12
miraculously	12
yong	12
grayish	12
not-exactly	12
telescope	12
pursuer	12
lectured	12
achilles	12
small-budget	12
near-xenophobic	12
miniseries	12
buyer	12
structuring	12
unearth	12
naqoyqatsi	12
tech-geeks	12
accomplishing	12
chalk	12
preschooler	12
kids-in-peril	12
user-friendly	12
evenhanded	12
palm	12
utah	12
j.r.r	12
relegated	12
ensnaring	12
screen-eating	12
dominate	12
moppet	12
run-on	12
liberated	12
step-printing	12
105	12
permit	12
poster-boy	12
grandkids	12
digitally	12
reagan	12
head-on	12
10,000	12
loathe	12
lesbian	12
macgraw	12
setpieces	12
hibernation	12
fun-loving	12
bladerunner	12
ballast	12
ornamentation	12
aborted	12
psychodrama	12
chortle	12
signature	12
vittorio	12
hitchens	12
mattel	12
indicate	12
wolfish	12
reviewer	12
long-faced	12
simplest	12
foul-natured	12
sleekly	12
knockabout	12
faked	12
warden	12
yours	12
intends	12
fluidity	12
nationalist	12
cannier	12
provoking	12
devastation	12
craftsman	12
turkey-on-rolls	12
sidestep	12
ribisi	12
hidebound	12
self-involved	12
advised	12
high-profile	12
environs	12
dormant	12
pointedly	12
supremes	12
rattled	12
acting-workshop	12
groaner	12
standby	12
lone	12
browning	12
heart-rate-raising	12
recreated	12
festooning	12
war-weary	12
bedside	12
windbag	12
sneeze	12
ricci	12
jr	12
inanely	12
pax	12
ripening	12
roughly	12
fume	12
interrelationship	12
grandstanding	12
psychologizing	12
companionship	12
lolling	12
two-day	12
camouflaging	12
galvanize	12
40-minute	12
huckster	12
prostitute	12
raucously	12
lapel	12
custom-made	12
runteldat	12
recapitulation	12
wrestle	12
forged	12
frei	12
not-so-funny	12
airport	12
timeline	12
solipsism	12
spiteful	12
cellular	12
surrealism	12
alagna	12
sla	12
inhalant	12
stepmother	12
compensated	12
mama	12
not-so-bright	12
province	12
ke	12
co-operative	12
kung-fu	12
good-naturedness	12
marilyn	12
reverse	12
sparring	12
recreating	12
dancer	12
omniscient	12
grouper	12
attach	12
marinelegal	12
wherein	12
benign	12
under-10	12
infused	12
interweaves	12
crummy-looking	12
slovenly	12
lightning	12
pronounced	12
indisputably	12
ill-considered	12
funniness	12
remembrance	12
moulin	12
filipino-americans	12
security	12
peanut	12
blithely	12
eye-filling	12
cat-and-mouse	12
v.s	12
sewage	12
hotdogging	12
remark	12
courting	12
thirsty	12
attracting	12
ii-birkenau	12
upcoming	12
kiosk	12
subscription	12
relates	12
yielded	12
alacrity	12
pop-up	12
laramie	12
bullfighter	12
stud	12
franc	12
crucifixion	12
strategic	12
miserably	12
hilary	12
fahrenheit	12
1938	12
completes	12
datedness	12
bisexual	12
throat	12
chiaroscuro	12
majority-oriented	12
bundy	12
beau	12
regimen	12
blisteringly	12
omission	12
dominatrix	12
grumble	12
armenia	12
revoked	12
recompense	12
inspector	12
tremble	12
redeemable	12
coaster	12
piscopo	12
cardiac	12
seductively	12
seizure	12
stuffy	12
discretion	12
masked	12
smokey	12
versatile	12
work-hours	12
skating	12
augmentation	12
stirred	12
uhhh	12
8th	12
assembles	12
comparatively	12
kibbitzes	12
chicanery	12
dreamworks	12
salt-of-the-earth	12
beck	12
enron	12
thornier	12
christelle	12
single-handedly	12
knickknack	12
astoundingly	12
sprout	12
burkina	12
high-wattage	12
combining	12
digital-effects-heavy	12
newly	12
abagnale	12
filter	12
rewritten	12
sarcasm	12
six-time	12
corpus	12
derek	12
unashamedly	12
visionary	12
too-facile	12
corporate-sports	12
endear	12
spinoffs	12
cat-and-mouser	12
accused	12
peralta	12
hinton	12
faltering	12
chides	12
winningly	12
ugliest	12
tease	12
dozing	12
bedknobs	12
proposes	12
bungling	12
rhino	12
veronique	12
iles	12
media-soaked	12
plunging	12
lavishly	12
televised	12
cultivation	12
abrams	12
chastity	12
perversity	12
inkling	12
self-evaluation	12
provocateur	12
quick-cut	12
b-12	12
operational	12
flinching	12
gorefest	12
carnival	12
downfall	12
pogue	12
rawness	12
flattens	12
frightfest	12
rye	12
blare	12
farmer	12
rhetorical	12
input	12
jeunet	12
costumer	12
greenfingers	12
subzero	12
peppering	12
loosely-connected	12
six-pack	12
reverie	12
post-saving	12
company-style	12
blunder	12
menzel	12
exploratory	12
wandered	12
wireless	12
retitle	12
tron	12
fulsome	12
welled	12
boiler	12
workman	12
ever-watchful	12
picnic	12
definite	12
goth-vampire	12
abdul	12
kaos	12
telephone	12
macaroni	12
even-handed	12
beatnik	12
mild-mannered	12
extradition	12
dulls	12
split-screen	12
sociologically	12
inequity	12
sappier	12
exiled	12
pasolini	12
deteriorating	12
andys	12
grass	12
b-scene	12
high-spirited	12
synthetic	12
prolonged	12
stupefying	12
lisa	12
multitude	12
heller	12
stiffness	12
mulholland	12
trauma	12
whippersnapper	12
movie-industry	12
cleansing	12
titillation	12
never-ending	12
meticulous	12
syrupy	12
sellout	12
inflated	12
induces	12
free-wheeling	12
weigel	12
caddyshack	12
stoner	12
stubbly	12
hang-up	12
nenette	12
guzman	12
meanderings	12
ski	12
liveliness	12
stumblebum	12
pseudo-hip	12
entangled	12
transmute	12
nauseating	12
prom	12
repeat	12
stitched	12
mommy	12
introverted	12
faso	12
neglecting	12
vigil	12
stepmom	12
befall	12
druggy	12
middle-fingered	12
statecraft	12
unavailable	12
cleopatra	12
offset	12
lottery	12
iced	12
toddler	12
psychedelia	12
overmanipulative	12
hum	12
mid-seventies	12
hot-blooded	12
half-step	12
fiddle	12
sunbaked	12
wound-licking	12
wimp	12
arouse	12
shakesperean	12
cloaked	12
all-night	12
cliche-riddled	12
dilutes	12
unbridled	12
barrett	12
sympathizing	12
actress-producer	12
safely	12
non-porn	12
erin	12
enamored	12
rocker	12
reimagine	12
patiently	12
leader	12
asinine	12
wilt	12
earthly	12
ex-girlfriend	12
boardwalk	12
surfacing	12
estrogen-free	12
hormone	11
shouting	11
howlingly	11
elegy	11
world-weary	11
grade-school	11
magnify	11
97	11
preferably	11
teleprompter	11
insubstantial	11
2,500	11
misfortune	11
rb	11
sickeningly	11
95-minute	11
wide-smiling	11
closed-off	11
zipper	11
wealth	11
quasi-shakespearean	11
eagerly	11
best-known	11
encomium	11
hide-and-seek	11
hard-to-predict	11
mend	11
cushion	11
eudora	11
impetus	11
carbon	11
roller	11
comedydrama	11
participatory	11
ridiculously	11
malapropism	11
allodi	11
backhanded	11
cheech	11
drably	11
articulated	11
specie	11
seaside	11
unrecommendable	11
self-dramatizing	11
hallucinogenic	11
mideast	11
soothe	11
solondzian	11
two-way	11
been-told-a	11
minnie	11
hindered	11
torpid	11
bearable	11
lactating	11
logically	11
flagging	11
neuwirth	11
fully-written	11
enervated	11
originally	11
vega	11
fantasy-adventure	11
name-calling	11
workmanlike	11
spiritualism	11
materializes	11
besco	11
leatherbound	11
training	11
boulevard	11
wrath	11
backseat	11
unreligious	11
tidy	11
candidly	11
printed	11
lauper	11
surfacey	11
surplus	11
semi-amusing	11
xmas	11
commodified	11
repulse	11
ante	11
dislocation	11
confidently	11
strong-minded	11
limping	11
ballpoint	11
binary	11
infuriatingly	11
memorialize	11
unveil	11
get-go	11
expository	11
gilmore	11
holiday-season	11
phoney-feeling	11
messianic	11
mourns	11
forgot	11
graduate	11
forgettably	11
lapaglia	11
weariness	11
tinsel	11
tail	11
ta	11
fritter	11
maryam	11
workaday	11
big-name	11
lameness	11
evolves	11
tapestry	11
greek-american	11
woolf	11
in-jokey	11
misuse	11
strangling	11
scherick	11
directionless	11
iranian-american	11
life-changing	11
beavis	11
turturro	11
borchardt	11
tummy	11
recital	11
torus	11
husband-and-wife	11
degraded	11
cleaving	11
surrendering	11
roundhouse	11
cattaneo	11
overboard	11
currently	11
cavorting	11
majesty	11
devil	11
conveyor	11
slyly	11
triple	11
welty	11
tower	11
l.	11
befuddled	11
laugh-a-minute	11
fryer	11
befuddlement	11
novelty	11
dramaturgy	11
unoriginality	11
vowing	11
retaliatory	11
actory	11
lashing	11
lucia	11
videologue	11
charity	11
garden	11
redefinition	11
decorating	11
inelegant	11
hippie-turned-yuppie	11
leg	11
allying	11
fifteen	11
survey	11
zip	11
illegal	11
eleven	11
labelled	11
wedge	11
trumpet	11
tied	11
tier	11
shapiro	11
warren	11
decay	11
u.n.	11
plateau	11
powerment	11
percussion	11
bombay	11
orchestrated	11
dogwalker	11
torrent	11
full-on	11
trusting	11
soul-stripping	11
newsreel	11
brink	11
terminal	11
irk	11
contemptible	11
streamlined	11
skateboarding	11
sanity	11
interchangeable	11
live-honed	11
uncreative	11
fashioning	11
dissing	11
well-executed	11
aspired	11
broomstick	11
reconceptualize	11
sufficiently	11
overlapping	11
mcconaughey	11
plundered	11
mutates	11
suicidal	11
desirable	11
grandparent	11
alternating	11
bewildered	11
investigator	11
295	11
placeholder	11
doubling	11
mandel	11
atypically	11
bennett	11
befuddling	11
lai	11
induce	11
yosuke	11
tryingly	11
hardhearted	11
goldbacher	11
fragment	11
germanic	11
dingy	11
carlos	11
fervid	11
recovering	11
kin	11
bebe	11
self-actualization	11
done-that	11
91-minute	11
anti-harry	11
incomplete	11
swamp	11
massoud	11
uninflected	11
receives	11
repelled	11
sailboaters	11
ageism	11
skipping	11
vanessa	11
emptily	11
norwegian	11
1971	11
progressed	11
off-hollywood	11
violinist	11
melange	11
adorable	11
khan	11
sizzling	11
maximum	11
bestowed	11
deconstructionist	11
reception	11
seductiveness	11
big-time	11
big-fisted	11
extra-dry	11
phonce	11
pulsating	11
coloring	11
body-switching	11
eke	11
prompting	11
chip	11
f.	11
summery	11
inscrutable	11
deconstruction	11
unlucky	11
enacted	11
copout	11
carl	11
buddy-cop	11
promotion	11
megalomaniac	11
artless	11
flabbergasting	11
baja	11
turk	11
hairline	11
ricochet	11
resurrecting	11
done-to-death	11
life-altering	11
colgate	11
mimicry	11
skyscraper	11
valley-girl	11
dyslexia	11
bestial	11
reeses	11
